year,moth,day,phenomenon,weather_condition,min_temp,med_temp,max_temp,city
2020,3,9,Nessuno ,poco nuvoloso ,3 °C ,8 °C ,12 °C ,Mantova
2020,3,10,Nessuno ,sereno ,4 °C ,9 °C ,15 °C ,Mantova
2020,3,11,Nessuno ,sereno ,2 °C ,12 °C ,17 °C ,Mantova
2020,3,12,Nessuno ,poco nuvoloso ,4 °C ,11 °C ,15 °C ,Mantova
2020,3,13,Nessuno ,poco nuvoloso ,11 °C ,13 °C ,15 °C ,Mantova
2020,3,14,Pioggia  ,poco nuvoloso ,6 °C ,11 °C ,13 °C ,Mantova
2020,3,15,Nessuno ,poco nuvoloso ,3 °C ,9 °C ,15 °C ,Mantova
2020,3,16,Nessuno ,sereno ,2 °C ,9 °C ,15 °C ,Mantova
2020,3,17,Nessuno ,sereno ,4 °C ,10 °C ,16 °C ,Mantova
2020,3,18,Nessuno ,sereno ,3 °C ,12 °C ,20 °C ,Mantova
2020,3,19,Nessuno ,sereno ,6 °C ,13 °C ,21 °C ,Mantova
2020,3,20,Pioggia  ,sereno ,6 °C ,13 °C ,20 °C ,Mantova
2020,3,21,Nebbia  ,nebbia al mattino ,6 °C ,11 °C ,17 °C ,Mantova
2020,3,22,Nessuno ,poco nuvoloso ,6 °C ,11 °C ,14 °C ,Mantova
2020,3,23,Nessuno ,poco nuvoloso ,1 °C ,6 °C ,10 °C ,Mantova
2020,3,24,Nessuno ,poco nuvoloso ,-1 °C ,5 °C ,12 °C ,Mantova
2020,3,25,Nessuno ,poco nuvoloso ,3 °C ,6 °C ,10 °C ,Mantova
2020,3,26,Pioggia  ,pioggia e schiarite ,2 °C ,5 °C ,8 °C ,Mantova
2020,3,27,Pioggia  ,pioggia e schiarite ,6 °C ,9 °C ,13 °C ,Mantova
2020,3,28,Nessuno ,sereno ,6 °C ,13 °C ,18 °C ,Mantova
2020,3,29,Pioggia  ,poco nuvoloso ,5 °C ,13 °C ,20 °C ,Mantova
2020,3,30,Pioggia  ,pioggia e schiarite ,5 °C ,12 °C ,14 °C ,Mantova
2020,3,31,Pioggia  ,pioggia e schiarite ,4 °C ,5 °C ,5 °C ,Mantova
2020,4,1,Nessuno ,poco nuvoloso ,3 °C ,7 °C ,11 °C ,Mantova
2020,4,2,Nessuno ,sereno ,-1 °C ,7 °C ,14 °C ,Mantova
2020,4,3,Nessuno ,sereno ,2 °C ,9 °C ,16 °C ,Mantova
2020,4,4,Nessuno ,poco nuvoloso ,2 °C ,11 °C ,19 °C ,Mantova
2020,4,5,Nessuno ,sereno ,5 °C ,13 °C ,20 °C ,Mantova
2020,4,6,Nessuno ,sereno ,8 °C ,15 °C ,22 °C ,Mantova
2020,4,7,Nessuno ,sereno ,6 °C ,14 °C ,22 °C ,Mantova
2020,4,8,Nessuno ,sereno ,5 °C ,14 °C ,22 °C ,Mantova
2020,4,9,Nessuno ,sereno ,5 °C ,15 °C ,23 °C ,Mantova
2020,4,10,Nessuno ,sereno ,7 °C ,16 °C ,25 °C ,Mantova
2020,4,11,Nessuno ,sereno ,7 °C ,17 °C ,26 °C ,Mantova
2020,4,12,Nessuno ,sereno ,8 °C ,17 °C ,26 °C ,Mantova
2020,4,13,Nessuno ,sereno ,7 °C ,16 °C ,23 °C ,Mantova
2020,4,14,Nessuno ,poco nuvoloso ,9 °C ,14 °C ,22 °C ,Mantova
2020,4,15,Nessuno ,poco nuvoloso ,4 °C ,11 °C ,16 °C ,Mantova
2020,4,16,Nessuno ,sereno ,3 °C ,12 °C ,20 °C ,Mantova
2020,4,17,Nessuno ,sereno ,5 °C ,14 °C ,22 °C ,Mantova
2020,4,18,Nessuno ,sereno ,7 °C ,16 °C ,24 °C ,Mantova
2020,4,19,Nessuno ,sereno ,10 °C ,17 °C ,24 °C ,Mantova
2020,4,20,Pioggia  ,pioggia e schiarite ,14 °C ,16 °C ,17 °C ,Mantova
2020,4,21,Pioggia  ,poco nuvoloso ,10 °C ,15 °C ,19 °C ,Mantova
2020,4,22,Nessuno ,sereno ,9 °C ,16 °C ,22 °C ,Mantova
2020,4,23,Nessuno ,sereno ,8 °C ,16 °C ,22 °C ,Mantova
2020,4,24,Nessuno ,sereno ,8 °C ,17 °C ,24 °C ,Mantova
